Date,PortfolioValue,Positions
2010-05-31,5000000.0,0
2010-06-01,5000000.0,0
2010-06-02,5000000.0,0
2010-06-03,5000000.0,0
2010-06-04,5000000.0,0
2010-06-07,5000000.0,0
2010-06-08,5000000.0,0
2010-06-09,5000000.0,0
2010-06-10,5000000.0,0
2010-06-11,5000000.0,0
2010-06-14,5000000.0,0
2010-06-15,5000000.0,0
2010-06-16,5000000.0,0
2010-06-17,5000000.0,0
2010-06-18,5000000.0,0
2010-06-21,5000000.0,0
2010-06-22,5000000.0,0
2010-06-23,5000000.0,0
2010-06-24,5000000.0,0
2010-06-25,5000000.0,0
2010-06-28,5000000.0,0
2010-06-29,5000000.0,0
2010-06-30,5000000.0,0
2010-07-01,5000000.0,0
2010-07-02,5000000.0,0
2010-07-05,5000000.0,0
2010-07-06,5000000.0,0
2010-07-07,5000000.0,0
2010-07-08,5000000.0,0
2010-07-09,5000000.0,0
2010-07-12,5000000.0,0
2010-07-13,5000000.0,0
2010-07-14,5000000.0,0
2010-07-15,5000000.0,0
2010-07-16,5000000.0,0
2010-07-19,5000000.0,0
2010-07-20,5000000.0,0
2010-07-21,5000000.0,0
2010-07-22,5000000.0,0
2010-07-23,5000000.0,0
2010-07-26,4979552.517392,1
2010-07-27,4993722.117392001,1
2010-07-28,4995404.757392,1
2010-07-29,5008009.797392,1
2010-07-30,4988113.317392,1
2010-08-02,5017825.197392001,1
2010-08-03,5027005.917392001,1
2010-08-04,5055241.797392,1
2010-08-05,5031684.8373920005,1
2010-08-06,5031507.717392,1
2010-08-09,5060466.8373920005,1
2010-08-10,5042607.237392,1
2010-08-11,5030607.357392,1
2010-08-12,5029116.597392,1
2010-08-13,5061116.277392,1
2010-08-16,5052053.637392,1
2010-08-17,5061426.237392,1
2010-08-18,5128451.397392,1
2010-08-19,5175639.117392001,1
2010-08-20,5172923.277392,1
2010-08-23,5201601.957392,1
2010-08-24,5193513.477392001,1
2010-08-25,5142694.797392,1
2010-08-26,5156037.8373920005,1
2010-08-27,5119388.757392,1
2010-08-30,5103093.717392,1
2010-08-31,5123993.8773920005,1
2010-09-01,5186222.037392001,1
2010-09-02,5197424.8773920005,1
2010-09-03,5226398.757392,1
2010-09-06,5284169.397392,1
2010-09-07,5303726.397392,1
2010-09-08,5305659.957392,1
2010-09-09,5306560.317392,1
2010-09-13,5350796.037392001,1
2010-09-14,5359091.157392001,1
2010-09-15,5393319.597392,1
2010-09-16,5349334.797392,1
2010-09-17,5402382.237392,1
2010-09-20,5472344.637392,1
2010-09-21,5473023.597392,1
2010-09-22,5461156.557392,1
2010-09-23,5474529.117392001,1
2010-09-24,5550425.037392001,1
2010-09-27,5534749.917392001,1
2010-09-28,5528698.317392,1
2010-09-29,5493613.797392,1
2010-09-30,5510322.117392001,1
2010-10-01,5600948.517392,1
2010-10-04,5616180.8373920005,1
2010-10-05,5614247.277392,1
2010-10-06,5648254.317392,1
2010-10-07,5606394.957392,1
2010-10-08,5601819.357392,1
2010-10-11,5624667.8373920005,1
2010-10-12,5591693.997392001,1
2010-10-13,5697050.8773920005,1
2010-10-14,5643988.677392,1
2010-10-15,5554985.8773920005,1
2010-10-18,5570011.557392,1
2010-10-19,5539783.077392001,1
2010-10-20,5522661.477392001,1
2010-10-21,5608653.237392,1
2010-10-22,5597125.677392,1
2010-10-25,5628534.957392,1
2010-10-26,5594690.277392,1
2010-10-27,5538498.957392,1
2010-10-28,5523310.917392001,1
2010-10-29,5521406.8773920005,1
2010-11-01,5574779.037392001,1
2010-11-02,5587398.8373920005,1
2010-11-03,5620047.957392,1
2010-11-04,5701021.317392,1
2010-11-05,5728563.477392001,1
2010-11-08,5683811.157392001,1
2010-11-09,5710423.437392,1
2010-11-10,5693537.997392001,1
2010-11-11,5620343.157392001,1
2010-11-12,5542454.637392,1
2010-11-15,5575753.197392001,1
2010-11-16,5475444.237392,1
2010-11-18,5481112.077392001,1
2010-11-19,5402160.8373920005,1
2010-11-22,5475399.957392,1
2010-11-23,5421909.717392,1
2010-11-24,5349482.397392,1
2010-11-25,5299224.597392,1
2010-11-26,5268818.997392001,1
2010-11-29,5334279.597392,1
2010-11-30,5359622.517392,1
2010-12-01,5435680.797392,1
2010-12-02,5457879.8373920005,1
2010-12-03,5444625.357392,1
2010-12-06,5442780.357392,1
2010-12-07,5442544.197392001,1
2010-12-08,5393481.957392,1
2010-12-09,5288877.8373920005,1
2010-12-10,5353024.797392,1
2010-12-13,5414706.8373920005,1
2010-12-14,5442204.717392,1
2010-12-15,5400345.357392,1
2010-12-16,5432654.997392001,1
2010-12-20,5447414.997392001,1
2010-12-21,5462056.917392001,1
2010-12-22,5435459.397392,1
2010-12-23,5437186.317392,1
2010-12-24,5464226.637392,1
2010-12-27,5463857.637392,1
2010-12-28,5474514.357392,1
2010-12-29,5515030.557392,1
2010-12-30,5548461.957392,1
2010-12-31,5569081.677392,1
2011-01-03,5579147.997392001,1
2011-01-04,5589981.8373920005,1
2011-01-05,5552771.8773920005,1
2011-01-06,5517067.437392,1
2011-01-07,5414411.637392,1
2011-01-10,5290117.677392,1
2011-01-11,5280730.317392,1
2011-01-12,5342869.917392001,1
2011-01-13,5272449.957392,1
2011-01-14,5203269.8373920005,1
2011-01-17,5213793.717392,1
2011-01-18,5260937.157392001,1
2011-01-19,5211727.317392,1
2011-01-20,5228140.437392,1
2011-01-21,5205247.677392,1
2011-01-24,5249881.917392001,1
2011-01-25,5219741.997392001,1
2011-01-27,5140702.197392001,1
2011-01-28,5053529.637392,1
2011-01-31,5065618.077392001,1
2011-02-01,5000054.157392001,1
2011-02-02,4991109.597392,1
2011-02-03,5043566.637392,1
2011-02-04,4946121.117392001,1
2011-02-07,4927862.997392001,1
2011-02-08,4858668.117392001,1
2011-02-09,4798358.757392,1
2011-02-10,4771761.237392,1
2011-02-11,4848070.437392,1
2011-02-14,4970047.077392001,1
2011-02-15,4986637.317392,1
2011-02-16,4976083.917392001,1
2011-02-17,5018592.717392,1
2011-02-18,4965707.637392,1
2011-02-21,5009352.957392,1
2011-02-22,4963272.237392,1
2011-02-23,4935051.117392001,1
2011-02-24,4820247.8373920005,1
2011-02-25,4827391.677392,1
2011-02-28,4843052.037392001,1
2011-03-01,4982297.8773920005,1
2011-03-03,5009146.317392,1
2011-03-04,5012718.237392,1
2011-03-07,4954312.917392001,1
2011-03-08,4989220.317392,1
2011-03-09,4990194.477392001,1
2011-03-10,4973471.397392,1
2011-03-11,4941811.197392001,1
2011-03-14,5002533.8373920005,1
2011-03-15,4933648.917392001,1
2011-03-16,4970578.437392,1
2011-03-17,4935434.8773920005,1
2011-03-18,4881457.557392,1
2011-03-21,4869634.797392,1
2011-03-22,4907582.757392,1
2011-03-23,4953840.597392,1
2011-03-24,4982519.277392,1
2011-03-25,5075463.9514784,0
2011-03-28,5075463.9514784,0
2011-03-29,5075463.9514784,0
2011-03-30,5075463.9514784,0
2011-03-31,5075463.9514784,0
2011-04-01,5075463.9514784,0
2011-04-04,5075463.9514784,0
2011-04-05,5075463.9514784,0
2011-04-06,5075463.9514784,0
2011-04-07,5075463.9514784,0
2011-04-08,5075463.9514784,0
2011-04-11,5075463.9514784,0
2011-04-13,5075463.9514784,0
2011-04-15,5075463.9514784,0
2011-04-18,5075463.9514784,0
2011-04-19,5075463.9514784,0
2011-04-20,5075463.9514784,0
2011-04-21,5075463.9514784,0
2011-04-25,5075463.9514784,0
2011-04-26,5075463.9514784,0
2011-04-27,5075463.9514784,0
2011-04-28,5075463.9514784,0
2011-04-29,5100161.177083201,1
2011-05-02,5023641.097083201,1
2011-05-03,4913156.457083201,1
2011-05-04,4874477.817083201,1
2011-05-05,4798563.097083201,1
2011-05-06,4930660.377083201,1
2011-05-09,4937615.577083201,1
2011-05-10,4936469.257083201,1
2011-05-11,4975482.777083201,1
2011-05-12,4914663.417083201,1
2011-05-13,4958133.417083201,1
2011-05-16,4909730.377083201,1
2011-05-17,4880608.697083201,1
2011-05-18,4853844.057083201,1
