Date,Symbol,Side,Qty,ExecPrice
2010-07-27,N500LOWVOL 50,BUY,1476.0,3378.1
2011-03-28,N500LOWVOL 50,SELL,1476.0,3447.52
2011-05-02,N500MOM 50,BUY,1288.0,3929.1549999999997
2011-06-01,N500MOM 50,SELL,1288.0,3916.26
2012-05-07,N500MOM 50,BUY,1321.0,3798.3050000000003
2015-10-01,N500MOM 50,SELL,1321.0,10092.55
2015-11-02,N500LOWVOL 50,BUY,2258.0,5872.67
2018-11-05,N500LOWVOL 50,SELL,2258.0,7657.455
2019-03-26,N500Q 50,BUY,2280.0,7542.8150000000005
2019-06-04,N500Q 50,SELL,2280.0,7576.6
2019-06-18,N500LOWVOL 50,BUY,2065.0,8320.49
